,date,count,mean,std,min,25%,50%,75%,max
0,march20_march21,610.0,0.13072665102429445,0.275134738521583,-0.9765625,0.0,0.062499999999999986,0.3125,0.8
1,march21_march22,436.0,0.20221095601327826,0.29442778378028767,-0.4,0.0,0.13636363636363635,0.42784090909090905,0.9765625
2,march22_march23,444.0,0.0629818252645401,0.3243625230604429,-1.0,-0.002485795454545456,0.0,0.25,0.7333333333333334
3,march23_march24,425.0,0.11495343773873186,0.24809230227420676,-0.6071428571428572,0.0,0.024074074074074064,0.24545454545454545,0.7000000000000001
4,march24_march25,352.0,0.05990920774301456,0.2563334289949162,-1.0,-0.02023358585858586,0.0,0.1875,0.6
5,march25_march26,378.0,0.11232989379814777,0.32617666545714546,-1.0,0.0,0.06666666666666668,0.30000000000000004,1.0
6,march26_march27,343.0,0.061873894903687186,0.28443506217306636,-1.0,0.0,0.0,0.15454545454545454,1.0
7,march27_march28,349.0,0.18273421467368461,0.2529221735125035,-0.3125,0.0,0.08333333333333334,0.4,1.0
8,march28_march29,318.0,0.0954034656235914,0.21081513522401676,-0.6,0.0,0.0,0.16666666666666666,0.6499999999999999
9,march30_march31,246.0,0.15330846924942293,0.29586059254636315,-0.6999999999999998,0.0,0.03333333333333333,0.3,1.0
10,march31_april1,241.0,0.08961065898812269,0.2846902330374661,-1.0,0.0,0.0,0.21666666666666667,1.0
11,april1_april2,264.0,0.1255975747737111,0.22487975113377642,-0.6,0.0,0.1,0.27589285714285716,0.75
12,april2_april3,275.0,0.16670318047903276,0.27341407932884404,-0.7999999999999999,0.0,0.1,0.2875,0.85
13,april3_april4,282.0,0.14764804196985049,0.28294306522623647,-1.0,0.0,0.05624999999999998,0.3289930555555555,0.925
14,april4_april5,259.0,0.16092737715186695,0.2759494989510896,-0.3854166666666666,0.0,0.008333333333333321,0.4,1.0
15,april5_april6,217.0,0.03703916219469215,0.3723793300385173,-0.75,0.0,0.0,0.18958333333333333,1.0
16,april6_april7,198.0,0.07232724716761514,0.22493565501737853,-0.6,0.0,0.0,0.153125,1.0
17,april7_april8,224.0,0.08249892348629793,0.2492271696482362,-1.0,0.0,0.01,0.2,1.0
18,april8_april9,174.0,0.1724030949893019,0.24198067046183003,-1.0,0.0,0.13636363636363635,0.34583333333333327,0.9765625
19,april9_april10,163.0,0.09351560724835267,0.21234354019737506,-0.5,0.0,0.0,0.201984126984127,1.0
20,april10_april11,183.0,0.13121490524433893,0.2593498029730206,-0.75,0.0,0.015,0.201984126984127,1.0
21,april11_april12,167.0,0.09036804097432839,0.21922535301311794,-0.6,0.0,0.0,0.2,0.8
22,april12_april13,175.0,0.170193475572047,0.27503550803870647,-0.1,-0.06666666666666668,0.03333333333333333,0.4,1.0
23,april13_april14,161.0,0.13441170058994448,0.22685852902694065,-0.2,0.0,0.05625,0.2,1.0
24,april14_april15,134.0,0.05578611945682842,0.1788451493819781,-0.3,-0.06666666666666668,0.0,0.14659090909090908,0.6
25,april15_april16,124.0,0.12467508119383276,0.273183791813371,-0.7999999999999999,0.0,0.04090909090909091,0.2565104166666667,1.0
26,april16_april17,153.0,0.09423677941294363,0.27209063778114717,-0.5,-0.06666666666666668,0.0,0.17045454545454544,1.0
27,april17_april18,152.0,0.10593456717274563,0.256248878168141,-1.0,0.0,0.07045454545454545,0.275,0.7
28,april18_april19,511.0,0.10322416599128928,0.28323716142986816,-1.0,0.0,0.0,0.25606060606060604,0.875
29,april19_april20,379.0,0.09711579076481058,0.2612863594463072,-0.625,-0.0625,0.0,0.25,1.0
30,april20_april21,384.0,0.11613800454946288,0.26820017555834086,-0.8,0.0,0.0,0.25,1.0
31,april21_april22,368.0,0.02218784800646214,0.2675306564642469,-1.0,-0.0625,0.0,0.16666666666666666,0.7
32,april22_april23,349.0,0.12563128664355386,0.25595659597604214,-0.5,0.0,0.0,0.2916666666666667,0.85
33,april23_april24,369.0,0.13511907812966414,0.28891923942058806,-0.8928571428571429,0.0,0.08096590909090909,0.3,0.9
34,april24_april25,335.0,0.1559562451092302,0.2939143355458622,-0.6999999999999998,0.0,0.013888888888888886,0.26,1.0
35,april25_april26,311.0,0.08557709038014505,0.2810080671130571,-0.6,0.0,0.0,0.21666666666666667,1.0
36,april26_april27,366.0,0.14996905900338278,0.2343765034929454,-0.4,0.0,0.13636363636363635,0.25,1.0
37,april27_april28,271.0,0.13223274521706258,0.2857043902715542,-0.6000000000000001,0.0,0.0,0.31,1.0
38,april28_april29,561.0,0.09016048652396372,0.2837431299239505,-0.8,0.0,0.0,0.2857142857142857,0.8
39,april29_april30,758.0,0.0757879896781612,0.23709959786507318,-1.0,0.0,0.0,0.25,0.6
40,april30_may1,654.0,0.13202719835501617,0.2440602229680983,-0.6,0.0,0.11111111111111112,0.25,0.85
41,may1_may2,819.0,0.13964192718657004,0.2380928635938136,-0.3277777777777778,0.0,0.03333333333333333,0.25,0.8719308035714285
42,may2_may3,855.0,0.11782142660187137,0.2666405688410561,-0.8,0.0,0.021590909090909088,0.275,0.75
43,may3_may4,593.0,0.11083162009019232,0.23951227550084753,-0.4000000000000001,0.0,0.0,0.175,1.0
44,may4_may5,716.0,0.15335171497496916,0.23974333574889786,-0.625,0.0,0.06666666666666668,0.2681818181818182,0.8
45,may5_may6,817.0,0.02194726892401311,0.15236463613813528,-0.3333333333333333,-0.0625,0.0,0.07500000000000001,0.7
46,may6_may7,722.0,0.07232171743403565,0.26162161779478504,-1.0,0.0,0.0,0.25,1.0
47,may7_may8,706.0,0.17025720074896775,0.2504053509469958,-0.3333333333333333,0.0,0.1,0.2916666666666667,1.0
48,may8_may9,757.0,0.13551329918476138,0.2381095659056224,-0.4318181818181818,0.0,0.06818181818181818,0.25,0.9375
49,may9_may10,648.0,0.17771402851263965,0.27382292955357057,-1.0,0.0,0.13636363636363635,0.3471243042671614,1.0
50,may10_may11,452.0,0.17457871523844187,0.30371021993959624,-0.7,0.0,0.090625,0.4,1.0
51,may11_may12,532.0,0.13109321203893573,0.26900021904799243,-0.8,0.0,0.05666666666666665,0.25,1.0
