,file_name,count,mean,std,min,25%,50%,75%,max
0,tweets_US_march20_march21.csv,610.0,0.13072665102429445,0.275134738521583,-0.9765625,0.0,0.062499999999999986,0.3125,0.8
1,tweets_US_march21_march22.csv,436.0,0.20221095601327826,0.29442778378028767,-0.4,0.0,0.13636363636363635,0.42784090909090905,0.9765625
2,tweets_US_march22_march23.csv,444.0,0.0629818252645401,0.3243625230604429,-1.0,-0.002485795454545456,0.0,0.25,0.7333333333333334
3,tweets_US_march23_march24.csv,425.0,0.11495343773873186,0.24809230227420676,-0.6071428571428572,0.0,0.024074074074074064,0.24545454545454545,0.7000000000000001
4,tweets_US_march24_march25.csv,352.0,0.05990920774301456,0.2563334289949162,-1.0,-0.02023358585858586,0.0,0.1875,0.6
5,tweets_US_march25_march26.csv,378.0,0.11232989379814777,0.32617666545714546,-1.0,0.0,0.06666666666666668,0.30000000000000004,1.0
6,tweets_US_march26_march27.csv,343.0,0.061873894903687186,0.28443506217306636,-1.0,0.0,0.0,0.15454545454545454,1.0
7,tweets_US_march27_march28.csv,349.0,0.18273421467368461,0.2529221735125035,-0.3125,0.0,0.08333333333333334,0.4,1.0
8,tweets_US_march28_march29.csv,318.0,0.0954034656235914,0.21081513522401676,-0.6,0.0,0.0,0.16666666666666666,0.6499999999999999
9,tweets_US_march30_march31.csv,246.0,0.15330846924942293,0.29586059254636315,-0.6999999999999998,0.0,0.03333333333333333,0.3,1.0
10,tweets_US_march31_april1.csv,241.0,0.08961065898812269,0.2846902330374661,-1.0,0.0,0.0,0.21666666666666667,1.0
11,tweets_US_april1_april2.csv,264.0,0.1255975747737111,0.22487975113377642,-0.6,0.0,0.1,0.27589285714285716,0.75
12,tweets_US_april2_april3.csv,275.0,0.16670318047903276,0.27341407932884404,-0.7999999999999999,0.0,0.1,0.2875,0.85
13,tweets_US_april3_april4.csv,282.0,0.14764804196985049,0.28294306522623647,-1.0,0.0,0.05624999999999998,0.3289930555555555,0.925
14,tweets_US_april4_april5.csv,259.0,0.16092737715186695,0.2759494989510896,-0.3854166666666666,0.0,0.008333333333333321,0.4,1.0
15,tweets_US_april5_april6.csv,217.0,0.03703916219469215,0.3723793300385173,-0.75,0.0,0.0,0.18958333333333333,1.0
16,tweets_US_april6_april7.csv,198.0,0.07232724716761514,0.22493565501737853,-0.6,0.0,0.0,0.153125,1.0
17,tweets_US_april7_april8.csv,224.0,0.08249892348629793,0.2492271696482362,-1.0,0.0,0.01,0.2,1.0
18,tweets_US_april8_april9.csv,174.0,0.1724030949893019,0.24198067046183003,-1.0,0.0,0.13636363636363635,0.34583333333333327,0.9765625
19,tweets_US_april9_april10.csv,163.0,0.09351560724835267,0.21234354019737506,-0.5,0.0,0.0,0.201984126984127,1.0
20,tweets_US_april10_april11.csv,183.0,0.13121490524433893,0.2593498029730206,-0.75,0.0,0.015,0.201984126984127,1.0
21,tweets_US_april11_april12.csv,167.0,0.09036804097432839,0.21922535301311794,-0.6,0.0,0.0,0.2,0.8
22,tweets_US_april12_april13.csv,175.0,0.170193475572047,0.27503550803870647,-0.1,-0.06666666666666668,0.03333333333333333,0.4,1.0
23,tweets_US_april13_april14.csv,161.0,0.13441170058994448,0.22685852902694065,-0.2,0.0,0.05625,0.2,1.0
24,tweets_US_april14_april15.csv,134.0,0.05578611945682842,0.1788451493819781,-0.3,-0.06666666666666668,0.0,0.14659090909090908,0.6
25,tweets_US_april15_april16.csv,124.0,0.12467508119383276,0.273183791813371,-0.7999999999999999,0.0,0.04090909090909091,0.2565104166666667,1.0
26,tweets_US_april16_april17.csv,153.0,0.09423677941294363,0.27209063778114717,-0.5,-0.06666666666666668,0.0,0.17045454545454544,1.0
27,tweets_US_april17_april18.csv,152.0,0.10593456717274563,0.256248878168141,-1.0,0.0,0.07045454545454545,0.275,0.7
28,tweets_US_april18_april19.csv,511.0,0.10322416599128928,0.28323716142986816,-1.0,0.0,0.0,0.25606060606060604,0.875
29,tweets_US_april19_april20.csv,379.0,0.09711579076481058,0.2612863594463072,-0.625,-0.0625,0.0,0.25,1.0
30,tweets_US_april20_april21.csv,384.0,0.11613800454946288,0.26820017555834086,-0.8,0.0,0.0,0.25,1.0
31,tweets_US_april21_april22.csv,368.0,0.02218784800646214,0.2675306564642469,-1.0,-0.0625,0.0,0.16666666666666666,0.7
32,tweets_US_april22_april23.csv,349.0,0.12563128664355386,0.25595659597604214,-0.5,0.0,0.0,0.2916666666666667,0.85
33,tweets_US_april23_april24.csv,369.0,0.13511907812966414,0.28891923942058806,-0.8928571428571429,0.0,0.08096590909090909,0.3,0.9
34,tweets_US_april24_april25.csv,335.0,0.1559562451092302,0.2939143355458622,-0.6999999999999998,0.0,0.013888888888888886,0.26,1.0
35,tweets_US_april25_april26.csv,311.0,0.08557709038014505,0.2810080671130571,-0.6,0.0,0.0,0.21666666666666667,1.0
36,tweets_US_april26_april27.csv,366.0,0.14996905900338278,0.2343765034929454,-0.4,0.0,0.13636363636363635,0.25,1.0
37,tweets_US_april27_april28.csv,271.0,0.13223274521706258,0.2857043902715542,-0.6000000000000001,0.0,0.0,0.31,1.0
38,tweets_US_april28_april29.csv,561.0,0.09016048652396372,0.2837431299239505,-0.8,0.0,0.0,0.2857142857142857,0.8
39,tweets_US_april29_april30.csv,758.0,0.0757879896781612,0.23709959786507318,-1.0,0.0,0.0,0.25,0.6
40,tweets_US_april30_may1.csv,654.0,0.13202719835501617,0.2440602229680983,-0.6,0.0,0.11111111111111112,0.25,0.85
